plate,fiber,ra,dec,z_qso,spectrum,rest_frame,dla_z,column_density,std_column_density,dla_confidence
474,632,142.445130,0.032840,3.063270,4114.338314,1012.568257,2.384420,20.800407,0.073295,1.000000
477,456,145.035180,2.535885,3.226646,4335.108784,1025.661680,2.566024,20.691087,0.049713,1.000000
483,251,133.119690,56.897064,2.916257,4233.504249,1081.007797,2.482445,20.914573,0.049098,1.000000
484,163,137.569980,57.891976,4.010019,5155.846749,1029.107261,3.241157,20.350846,0.050797,1.000000
484,163,137.569980,57.891976,4.010019,6013.121788,1200.219400,3.946344,20.544612,0.044686,1.000000
485,541,142.716380,60.383663,3.717220,4867.433200,1031.843571,3.003910,20.965713,0.081849,1.000000
485,541,142.716380,60.383663,3.717220,5637.674531,1195.126462,3.637504,20.508694,0.091193,1.000000
486,37,147.923900,61.234353,3.757479,5618.236281,1180.927196,3.621514,20.464175,0.218954,0.637500
487,388,146.997560,63.467531,2.611013,4250.108332,1176.985075,2.496104,20.652119,0.055439,1.000000
487,557,150.478640,63.138322,4.155504,5254.120151,1019.128279,3.321995,20.968782,0.088612,0.700000
487,557,150.478640,63.138322,4.155504,5582.130689,1082.751646,3.591814,20.573632,0.118853,0.375000
487,557,150.478640,63.138322,4.155504,5746.454866,1114.625188,3.726986,20.556280,0.160353,0.312500
487,557,150.478640,63.138322,4.155504,6103.795856,1183.937708,4.020932,20.742633,0.088912,0.850000
487,596,151.054770,63.077048,4.118496,4720.630413,922.269055,2.883151,20.718243,0.131958,0.487500
487,596,151.054770,63.077048,4.118496,5017.645790,980.296917,3.127474,20.670602,0.051052,1.000000
487,596,151.054770,63.077048,4.118496,5893.862502,1151.483281,3.848242,20.519714,0.094822,1.000000
488,63,155.883650,63.585578,4.881400,6739.070504,1145.827589,4.543503,20.560701,0.064884,1.000000
488,474,152.723020,64.808900,4.662415,5382.697825,950.601077,3.427762,20.684961,0.155837,0.487500
488,474,152.723020,64.808900,4.662415,5688.529308,1004.611863,3.679337,20.551405,0.122781,0.450000
488,474,152.723020,64.808900,4.662415,5982.738216,1056.570065,3.921351,20.485024,0.121939,0.787500
488,474,152.723020,64.808900,4.662415,6150.352393,1086.171247,4.059229,20.468975,0.109401,0.275000
488,474,152.723020,64.808900,4.662415,6378.227416,1126.414681,4.246677,20.504551,0.094115,1.000000
488,474,152.723020,64.808900,4.662415,6658.861777,1175.975577,4.477524,20.350901,0.201499,0.250000
488,474,152.723020,64.808900,4.662415,6828.101998,1205.863923,4.616740,20.340213,0.106522,0.550000
489,512,160.033770,65.241473,4.561782,5376.504331,966.687375,3.422668,20.645508,0.057616,1.000000
490,320,161.431480,65.722610,2.976041,4204.361011,1057.423937,2.458472,20.502571,0.135161,0.975000
490,520,165.697030,66.588741,4.798300,5375.266488,927.041837,3.421649,20.798148,0.106142,0.512500
490,520,165.697030,66.588741,4.798300,6131.969697,1057.546164,4.044107,20.616369,0.077283,0.287500
492,280,173.671760,67.297610,2.965838,4003.132822,1009.404032,2.292944,20.792385,0.269713,0.612500
493,8,184.291470,66.534249,2.990181,4390.358656,1100.290611,2.611472,20.411610,0.068072,1.000000
493,507,183.160060,67.989023,2.582934,3967.345289,1107.289556,2.263505,20.370596,0.154337,0.912500
494,542,189.904920,67.672443,4.411811,5227.571722,965.956099,3.300157,20.680134,0.115729,0.275000
494,542,189.904920,67.672443,4.411811,6523.790410,1205.472726,4.366416,20.564720,0.054533,1.000000
497,196,205.567180,66.124156,3.490914,4903.430228,1091.855714,3.033521,20.874375,0.060118,1.000000
498,398,209.678820,65.376856,3.184909,4944.245193,1181.446256,3.067095,20.500135,0.051115,1.000000
499,69,217.960720,63.561109,3.602635,4659.078201,1012.263257,2.832519,20.407773,0.095749,0.537500
499,69,217.960720,63.561109,3.602635,5014.180920,1089.415307,3.124623,20.823978,0.072686,1.000000
