RA,DEC,zabs,zem,NHI,plate,fiber
219.63454166666662,48.30430555555555,3.5559,3.828000068664551,20.35,1047,253
219.64979166666663,43.249805555555554,4.3999,4.611000061035156,20.85,1289,296
227.21641666666662,51.94102777777778,3.5868,3.7990000247955322,20.9,1165,426
229.31612499999997,52.15925,3.5048,3.799999952316284,21.45,1165,582
229.69204166666663,48.37936111111111,2.9854,3.253999948501587,20.95,1331,332
239.52916666666664,32.044,3.4818,3.6730000972747803,20.45,1404,147
239.56045833333332,40.89361111111111,2.55209,2.6403000354766846,20.3,1054,602
246.61041666666665,27.859,5.0756,5.184700012207031,20.95,1408,460
247.80024999999998,27.52808333333333,2.7699,3.2660000324249268,21.0,1408,617
253.47754166666664,40.90058333333333,4.57422,4.9770002365112305,20.35,631,127
116.34074999999999,47.57672222222222,3.0179,3.2209999561309814,20.4,1867,618
116.80520833333331,17.996722222222225,3.57387,3.746999979019165,20.45,1920,273
119.78154166666666,18.015194444444443,4.6578,4.861999988555908,20.8,1923,309
128.62266666666665,21.673527777777778,4.38987,4.497200012207031,20.7,1929,44
138.6912083333333,30.293972222222223,3.80376,4.269999980926514,21.05,1936,618
155.15479166666665,38.50875,3.25827,3.4820001125335693,20.4,1427,553
159.35595833333332,39.353388888888894,3.12128,3.2950000762939453,20.3,1432,196
160.0104583333333,31.080527777777778,3.21778,3.549999952316284,20.55,1969,489
164.62512499999997,33.64980555555555,3.29235,3.8329999446868896,20.85,1983,140
167.23112499999996,12.164805555555557,3.39258,3.674499988555908,20.45,1604,383
174.2385,43.56747222222223,3.22459,3.6730000972747803,20.35,1366,24
174.35545833333333,44.585,2.9735,3.186000108718872,21.2,1366,614
177.50991666666664,39.67819444444444,2.8375,3.1338999271392822,20.5,1970,98
180.99612499999998,34.18727777777777,3.67431,3.7483999729156494,20.6,2099,635
180.99612499999998,34.18727777777777,3.6868,3.7483999729156494,20.6,2099,635
189.2772083333333,36.254694444444446,3.6714,4.105999946594238,20.4,2010,536
190.08712499999996,14.926555555555556,3.0241,3.1070001125335693,20.45,1769,519
195.7483333333333,43.584583333333335,3.34618,3.9093000888824463,20.35,1374,217
197.32549999999998,40.48844444444445,3.01086,3.4200000762939453,21.35,2088,401
201.47549999999995,12.929583333333333,3.54972,4.139999866485596,20.4,1698,612
207.41574999999995,12.708527777777777,3.49204,4.184999942779541,20.4,1701,569
207.41574999999995,12.708527777777777,3.74435,4.184999942779541,20.3,1701,569
213.04149999999996,6.401888888888889,4.10923,4.421000003814697,20.55,1825,153
218.15074999999996,23.820666666666668,2.8115,2.944999933242798,20.4,2136,438
218.53462499999998,23.374972222222222,3.4111,3.9700000286102295,20.7,2136,493
225.40679166666663,32.24366666666667,3.3928,3.528700113296509,20.65,1648,183
236.99491666666665,36.45147222222222,3.6473,3.880000114440918,20.8,1416,515
248.54924999999994,21.890277777777776,4.44405,4.507199764251709,20.4,1571,219
251.50841666666662,27.729999999999997,3.2276,3.7219998836517334,21.2,1690,436
253.65354166666663,22.45936111111111,4.10046,4.677999973297119,20.35,1415,423
