PLATE,FIB,RA,DEC
491,254,169.1020,65.6345
2030,617,169.1037,37.9717
510,534,169.1240,3.4020
878,98,169.1447,50.5251
2030,78,169.1505,37.0695
2111,205,169.1597,34.9515
775,240,169.1616,61.5041
951,219,169.1641,57.9931
951,374,169.1718,60.2068
279,500,169.1765,0.0993
2215,406,169.1777,29.9680
1439,617,169.1784,42.0569
1979,251,169.1820,31.4601
2037,302,169.1859,37.0540
1617,216,169.1883,6.6438
1440,279,169.1982,41.0263
1605,330,169.1983,13.0926
2111,379,169.2064,35.5762
1365,247,169.2082,43.6243
510,75,169.2165,2.4201
835,108,169.2218,4.2592
909,127,169.2285,55.5216
1979,246,169.2354,31.0036
1617,412,169.2371,8.1415
2492,575,169.2430,22.1874
1605,322,169.2579,13.1876
1440,422,169.2614,41.8003
2037,282,169.2654,36.7201
1617,239,169.2688,7.0591
2492,605,169.2831,22.5841
596,116,169.3020,63.6499
1013,228,169.3088,54.1555
279,511,169.3279,0.0092
1617,228,169.3325,6.8998
965,477,169.3698,49.0379
2213,609,169.3730,29.5272
2493,133,169.3734,22.8531
2493,110,169.3753,23.7299
1365,398,169.4014,44.9488
1222,416,169.4180,10.2149
2214,62,169.4219,26.1776
2215,519,169.4321,29.4464
2414,415,169.4342,59.9725
1980,567,169.4524,39.4629
511,400,169.4569,2.6282
2495,415,169.4572,20.0413
835,43,169.4637,3.7140
1980,64,169.4661,38.7090
1440,200,169.4722,41.3379
1979,270,169.4731,30.5425
1605,231,169.4744,12.0282
1753,353,169.4855,14.6214
596,613,169.4878,65.1980
510,593,169.5240,2.8130
2494,375,169.5461,17.7708
1364,620,169.5538,44.1895
2494,403,169.5541,18.1724
951,404,169.5620,59.9198
1979,213,169.5637,31.3315
2496,336,169.5716,22.4695
1979,352,169.5730,32.2413
2216,395,169.5813,26.8930
836,313,169.5853,4.6903
511,264,169.5948,2.0434
1980,65,169.5952,38.8109
2216,327,169.6239,27.7699
878,560,169.6244,51.4375
2413,618,169.6280,10.3438
2413,13,169.6318,8.4854
835,603,169.6370,5.6555
1364,609,169.6374,44.3325
2493,571,169.6835,25.0389
1979,231,169.6872,30.8580
878,141,169.6882,50.6696
1222,123,169.6910,8.5025
2493,577,169.6932,24.9164
2497,353,169.6981,24.8407
2111,171,169.7084,35.2199
1617,468,169.7229,7.8294
2216,326,169.7230,27.4671
1364,3,169.7230,43.2670
1979,223,169.7268,30.4527
2037,230,169.7340,37.0489
1605,434,169.7387,12.5783
279,551,169.7439,0.1152
836,345,169.7606,5.1608
511,396,169.7943,2.7408
951,418,169.8097,60.0826
909,528,169.8282,57.7938
909,174,169.8294,55.8707
2111,169,169.8360,34.8800
2216,233,169.8371,26.8303
2493,57,169.8374,23.4276
1222,143,169.8432,9.1158
775,212,169.8432,60.8143
2496,290,169.8454,20.8296
2872,583,169.8505,19.9060
1222,527,169.8520,10.6833
1605,439,169.8547,12.2589
1605,406,169.8682,13.0475
775,216,169.8706,60.7772
596,600,169.8756,64.0085
775,214,169.8797,60.8227
2494,227,169.8835,16.5902
596,18,169.8896,63.0769
2495,427,169.8962,19.7739
2495,448,169.9008,20.3168
2497,349,169.9064,24.4334
2214,625,169.9175,27.1726
2495,136,169.9209,18.5775
2414,53,169.9236,58.4323
1753,290,169.9456,13.6331
1438,630,169.9461,46.3748
1980,584,169.9558,40.2611
2493,7,169.9577,22.8620
2494,424,169.9646,17.5226
2216,361,169.9760,27.6196
2495,530,169.9868,20.3073
2215,6,169.9879,28.2317
2873,396,169.9939,67.4101
1617,98,169.9979,6.6115
775,496,170.0069,62.0832
1980,597,170.0132,39.8755
1753,270,170.0271,13.9331
2497,317,170.0427,23.8280
2037,433,170.0553,37.4789
2494,478,170.0860,17.4218
1364,11,170.0874,43.4292
2496,249,170.1009,20.9024
2494,184,170.1131,16.3708
1222,110,170.1202,9.0793
2496,253,170.1214,20.3798
1979,196,170.1233,30.7408
1441,469,170.1259,47.3195
1222,520,170.1265,9.4878
2497,293,170.1309,23.6091
2494,133,170.1527,16.3184
1617,152,170.1607,7.0518
2111,492,170.1660,35.4215
2111,548,170.1874,36.7191
775,172,170.1956,61.5160
1440,128,170.2031,40.5970
1441,193,170.2215,46.5598
836,364,170.2291,5.8681
1365,236,170.2325,43.2368
1979,194,170.2337,30.5042
1980,54,170.2421,39.2140
2496,403,170.2449,22.8032
2494,540,170.2472,17.7602
1980,604,170.2509,39.8292
1440,127,170.2581,40.4213
2498,345,170.2629,19.8506
2874,111,170.2630,-12.3019
1365,163,170.2706,43.3616
597,315,170.2772,64.3177
878,583,170.2833,51.5015
2497,287,170.2855,23.3643
909,545,170.3008,56.8336
1980,631,170.3147,39.9076
2496,208,170.3173,20.9793
2494,528,170.3176,18.0417
2216,206,170.3233,26.0209
2111,525,170.3335,35.8224
1753,419,170.3401,15.5337
1605,489,170.3665,12.6378
2215,632,170.3737,29.3276
2216,207,170.3941,25.7728
2495,99,170.4108,18.5809
2493,30,170.4155,23.6658
1979,425,170.4172,32.3963
2037,219,170.4213,36.6689
2497,321,170.4262,25.2184
965,152,170.4289,48.5685
1222,559,170.4291,9.8071
511,519,170.4508,2.6833
2495,94,170.4559,18.1210
2037,497,170.4669,37.9376
836,215,170.4791,3.9213
1979,435,170.4817,32.1375
1753,193,170.4853,14.3209
1996,271,170.4867,39.5476
1979,110,170.5123,30.6632
1753,475,170.5139,14.5895
1979,116,170.5231,30.7265
909,109,170.5311,55.9525
1979,474,170.5323,31.9386
2493,635,170.5414,24.2938
1617,610,170.5482,7.9743
836,169,170.5569,4.2636
1996,267,170.5663,39.2914
2216,418,170.5782,27.6225
775,152,170.5814,61.6800
2216,458,170.5877,28.2027
2216,487,170.5896,27.4576
2216,454,170.5959,27.5111
2498,326,170.6042,20.1634
2100,255,170.6042,32.6629
281,304,170.6094,-0.0883
1996,340,170.6101,40.2786
1441,162,170.6278,46.6201
1617,115,170.6331,7.0186
1753,446,170.6344,15.6887
2495,505,170.6354,19.7628
1996,325,170.6462,40.9226
836,161,170.6499,4.3745
1753,478,170.6542,14.8402
1365,194,170.6563,42.9532
775,507,170.6578,62.3401
1441,100,170.6610,45.6727
951,523,170.6634,60.3368
2495,502,170.6850,19.3958
2495,59,170.6955,18.4900
2497,256,170.6995,23.5003
597,386,170.7033,64.9433
280,500,170.7060,0.3465
1753,477,170.7123,14.6257
1753,450,170.7166,15.5934
280,447,170.7229,0.8916
2494,101,170.7401,16.5718
2499,308,170.7449,16.7612
836,471,170.7511,5.4142
951,571,170.7589,60.1271
1753,124,170.7731,13.5090
2496,150,170.7943,21.0468
1441,99,170.8107,45.9200
2497,222,170.8231,24.0933
2216,136,170.8243,25.5851
2218,302,170.8397,26.4916
2495,560,170.8410,19.4745
2218,355,170.8547,26.8867
2498,431,170.8667,19.9291
1617,583,170.8673,7.6235
951,546,170.8677,59.4653
2876,359,170.8689,-7.3411
597,394,170.8767,64.6846
2217,292,170.9005,28.3098
1979,76,170.9017,30.8111
879,251,170.9046,50.7589
836,499,170.9089,5.3440
1365,136,170.9101,43.7204
2217,391,170.9150,29.2863
2494,18,170.9170,15.8982
1753,92,170.9174,13.9042
1996,375,170.9194,40.6811
1979,66,170.9230,30.6113
2498,434,170.9262,19.9332
2496,47,170.9480,20.7267
2494,592,170.9779,17.2941
2218,396,170.9871,27.3526
879,439,170.9904,51.7565
2037,87,170.9926,36.4155
1606,305,170.9939,11.8117
2498,438,170.9952,19.8883
1753,528,171.0069,15.5762
2216,502,171.0093,27.3805
2037,539,171.0144,38.2566
326,349,171.0180,-2.0551
836,131,171.0189,4.0717
2414,78,171.0398,58.5111
2218,305,171.0406,26.7331
879,248,171.0533,50.7349
836,458,171.0542,5.9225
2100,407,171.0622,34.5103
966,383,171.0701,49.7011
2499,381,171.0765,17.4787
280,53,171.0915,-1.1175
2496,551,171.1065,21.6991
1979,98,171.1088,31.2674
1996,259,171.1117,39.0681
965,583,171.1123,49.6423
1442,311,171.1204,46.2992
2496,564,171.1208,22.4124
1365,74,171.1248,42.7297
1979,553,171.1258,32.4573
1996,256,171.1339,38.8512
836,120,171.1353,4.5607
836,446,171.1370,5.9981
1440,1,171.1382,40.7800
836,87,171.1414,3.8057
1605,80,171.1469,11.9279
836,106,171.1574,4.3021
836,520,171.1640,4.8455
1014,347,171.1700,55.0427
1618,303,171.1705,7.1894
1618,398,171.1738,7.7212
1618,256,171.1826,6.6072
2113,300,171.1920,35.6043
1753,505,171.2000,15.0896
2217,401,171.2018,30.2795
2037,48,171.2112,36.6196
1441,42,171.2214,45.2433
1014,283,171.2292,53.7229
1309,386,171.2302,57.1824
1223,354,171.2361,9.8941
836,537,171.2378,5.6764
2100,199,171.2520,33.6495
326,239,171.2544,-2.4876
966,289,171.2647,47.9916
951,117,171.2674,58.8223
965,629,171.2861,49.2987
1013,537,171.3042,55.1763
1365,596,171.3052,45.0629
1979,579,171.3079,31.5765
2494,40,171.3308,17.0091
1223,307,171.3335,9.4627
2495,623,171.3406,19.6456
965,631,171.3442,49.0538
879,229,171.3460,51.5669
2217,210,171.3589,28.2674
2499,297,171.3603,16.1436
1440,75,171.3712,41.3762
1309,364,171.3771,57.9563
879,474,171.3907,51.9387
2216,108,171.3931,26.6324
1979,41,171.3940,30.8399
2037,587,171.3956,38.0304
1979,585,171.3958,32.4252
2494,624,171.4013,17.1844
2873,496,171.4028,67.4989
2100,451,171.4148,34.3571
281,380,171.4245,0.9382
326,370,171.4288,-1.3199
512,280,171.4382,2.1972
879,240,171.4582,51.2258
2216,104,171.4630,26.3146
836,68,171.4661,4.2358
879,202,171.4662,50.4677
1618,366,171.4670,8.2546
1442,337,171.4731,47.7806
2218,291,171.4738,26.1722
326,218,171.4766,-3.3353
1310,388,171.4780,57.3115
2498,259,171.4971,18.5023
280,17,171.5058,-0.7525
512,422,171.5071,2.4933
952,376,171.5314,60.4962
2037,78,171.5657,37.2931
2217,181,171.5660,28.7991
326,420,171.5725,-1.4424
1996,163,171.5864,39.4282
2111,604,171.5895,35.6738
2100,502,171.5926,34.0906
2218,435,171.5996,27.0123
2217,473,171.5998,29.5386
1606,245,171.6029,11.3550
1223,240,171.6087,9.5147
1996,121,171.6121,38.6596
2217,453,171.6237,30.2058
1996,499,171.6260,39.7996
2216,588,171.6276,26.8327
326,415,171.6429,-1.4103
2498,203,171.6439,18.5626
2414,637,171.6446,59.5598
1442,323,171.6460,47.6726
2497,572,171.6486,25.4376
2499,377,171.6582,17.5829
2498,162,171.6593,19.1019
512,292,171.6680,1.2504
1309,404,171.6841,58.0127
1618,464,171.6917,7.7689
1606,241,171.6957,11.1452
836,603,171.7026,5.9412
776,296,171.7245,61.2556
2113,219,171.7253,35.4200
775,6,171.7298,60.6155
2497,153,171.7572,24.3057
326,493,171.7698,-2.0987
1996,516,171.7776,39.9393
597,270,171.7809,64.2321
281,196,171.7827,-0.2347
2218,229,171.7921,26.6696
2500,246,171.7965,20.7736
2218,467,171.8002,27.3682
836,557,171.8034,4.8479
2113,410,171.8121,35.9372
2499,407,171.8274,17.8970
1979,630,171.8306,31.8410
2501,309,171.8379,24.4048
879,497,171.8432,51.7601
1996,152,171.8474,39.1631
951,8,171.8483,58.2075
1979,626,171.8615,32.0101
951,618,171.8617,60.1723
1309,432,171.8623,57.0834
2499,404,171.8658,17.8536
2216,581,171.8760,26.8900
1754,328,171.8815,15.8158
2100,540,171.8878,34.6960
2113,266,171.8904,34.5024
2497,542,171.8913,24.6308
2499,401,171.8967,18.2398
966,428,171.9056,49.3532
512,212,171.9115,1.5939
1754,323,171.9182,15.5873
2218,226,171.9233,26.7964
281,132,171.9247,-0.7557
1013,599,171.9266,54.5467
951,608,171.9318,59.7274
1618,200,171.9346,7.4263
836,600,171.9561,5.1946
1979,6,171.9567,30.8362
2414,623,171.9596,59.4325
1618,137,171.9642,6.3768
2100,542,171.9710,34.0519
1366,336,171.9732,45.0033
1974,379,171.9913,31.9662
326,514,171.9984,-2.0604
1618,448,172.0028,8.4553
491,563,172.0109,67.9918
2501,328,172.0142,25.5721
966,213,172.0161,48.6554
1754,322,172.0235,15.8388
2100,550,172.0303,33.9696
1979,19,172.0351,31.1358
326,145,172.0387,-3.0245
2876,467,172.0444,-7.5408
281,169,172.0480,-0.6495
1223,188,172.0494,9.4929
951,610,172.0575,59.7037
2100,102,172.0842,32.9886
2498,90,172.0847,18.1733
1606,122,172.0950,11.0095
2500,407,172.0952,22.7893
2113,437,172.0985,36.4367
2100,11,172.1038,32.1459
837,350,172.1054,5.4744
2113,235,172.1062,34.9221
2499,172,172.1074,16.7643
1979,612,172.1193,31.6516
2100,6,172.1316,32.4691
1974,348,172.1321,32.2658
1974,371,172.1392,31.7305
2873,506,172.1486,67.5042
1443,432,172.1704,42.2750
597,215,172.1713,63.7922
1996,550,172.1838,39.8934
512,560,172.1900,2.2658
2037,636,172.1914,37.7467
1366,254,172.1927,44.3173
2113,224,172.1996,34.3955
2036,392,172.2057,37.9167
326,115,172.2084,-2.5906
837,286,172.2085,3.8046
1309,452,172.2126,57.6329
2497,17,172.2154,23.4381
2218,193,172.2157,26.6755
1366,311,172.2160,43.3443
1606,144,172.2221,11.7239
837,387,172.2248,5.5361
2218,442,172.2328,27.9412
1618,519,172.2349,7.4809
2100,588,172.2385,33.7338
1309,450,172.2410,57.9861
2113,439,172.2411,36.3806
1310,228,172.2442,56.5945
2217,567,172.2601,30.4844
1618,165,172.2768,6.8026
1443,237,172.2779,41.7662
952,462,172.2816,60.0446
879,178,172.2840,51.3520
326,551,172.2877,-2.2410
2499,125,172.2918,15.8777
837,241,172.3004,3.9648
1310,197,172.3112,56.8914
2873,93,172.3137,66.3505
1754,245,172.3151,13.9389
512,156,172.3180,1.8783
2218,457,172.3255,27.5091
2218,447,172.3346,27.8568
1754,243,172.3398,13.8251
491,160,172.3461,66.7738
1441,40,172.3528,46.6887
2499,108,172.3533,16.7190
1366,210,172.3781,44.3282
1013,638,172.3871,54.3152
775,596,172.3907,61.9468
952,203,172.3914,58.2582
1996,582,172.3916,40.1347
2504,301,172.3933,21.6173
1618,542,172.3952,7.8529
326,44,172.3964,-3.6433
1366,205,172.4103,44.0570
1606,530,172.4114,13.2090
1754,403,172.4129,15.5706
2498,13,172.4203,18.3393
1223,48,172.4560,8.6314
1974,401,172.4590,32.1206
1366,456,172.4625,44.9548
1996,591,172.4656,39.7836
879,55,172.4683,50.7506
2217,549,172.4683,30.0027
597,409,172.4710,65.2666
1618,538,172.4780,8.1599
327,337,172.4837,-1.7035
879,143,172.4840,51.5629
2113,465,172.4845,36.0286
2876,82,172.4874,-8.6754
2036,275,172.4909,37.5458
597,238,172.4973,64.3408
2113,182,172.5010,34.7739
1606,102,172.5098,11.9107
1014,211,172.5342,53.9055
966,487,172.5392,49.8800
837,220,172.5441,4.1911
2501,242,172.5448,23.1070
512,93,172.5491,1.4622
2500,151,172.5706,21.4881
1619,344,172.5724,7.5369
326,581,172.5747,-1.8010
2217,4,172.5750,28.1712
879,49,172.5894,50.5965
2502,272,172.5937,19.0454
2881,358,172.6119,59.5654
2499,74,172.6182,16.7124
1974,384,172.6230,32.8646
2876,508,172.6287,-7.2649
1366,449,172.6427,44.7505
2501,182,172.6441,24.3256
1754,466,172.6518,15.2148
966,124,172.6569,48.0927
1309,174,172.6658,56.7149
1442,196,172.6961,46.8290
2219,246,172.7000,26.2354
2500,528,172.7019,22.8685
1309,487,172.7039,57.1514
2098,334,172.7066,34.6280
2036,476,172.7229,38.1000
2504,390,172.7304,22.5723
1974,428,172.7483,32.7207
879,54,172.7535,50.9555
2881,350,172.7565,59.8419
2500,530,172.7591,22.9863
879,117,172.7619,51.5403
2218,141,172.7781,26.3233
966,508,172.7818,49.8587
2504,398,172.7877,22.6244
952,441,172.8011,60.6437
879,60,172.8335,50.9375
2036,403,172.8337,38.5323
1442,137,172.8473,46.0690
2219,243,172.8510,26.3309
326,62,172.8612,-3.0493
1309,481,172.8613,57.4046
1996,6,172.8666,38.9453
2218,555,172.8711,27.2183
776,250,172.8767,60.7391
2113,67,172.8783,34.9317
879,553,172.8798,51.7627
1618,584,172.8827,7.7218
512,17,172.8861,1.4626
1619,310,172.8867,6.8953
2098,302,172.8894,33.4558
2217,596,172.8908,29.6420
1972,327,172.9178,40.4217
1223,557,172.9234,9.9805
1996,12,172.9263,38.8152
1014,189,172.9346,54.5162
2036,409,172.9518,38.6366
952,130,172.9521,58.2229
597,121,172.9522,63.3892
966,187,172.9577,48.6988
1619,297,172.9586,6.2703
1014,209,172.9613,53.5996
1311,317,172.9664,56.9308
1442,172,172.9664,46.6476
1366,142,172.9673,43.8884
1996,11,172.9676,38.8238
326,76,172.9677,-2.3814
952,169,172.9690,58.7528
1223,79,172.9836,9.7513
2504,273,172.9839,21.2574
2498,26,172.9905,19.2577
2876,68,173.0152,-8.1709
1014,126,173.0256,53.6357
282,330,173.0538,1.0782
326,36,173.0733,-2.6022
1442,173,173.1040,46.8304
281,24,173.1050,-0.4911
2504,282,173.1088,20.9549
326,625,173.1111,-1.8658
2876,616,173.1225,-6.4979
879,62,173.1368,51.1260
2036,483,173.1401,38.0629
1309,160,173.1465,56.7519
1754,529,173.1503,15.8140
2098,265,173.1546,33.0950
1972,289,173.1592,39.2331
2881,286,173.1655,58.6438
2502,457,173.1736,20.4601
1014,181,173.1799,54.3516
1223,26,173.1822,9.5312
2113,579,173.1885,35.8725
1974,178,173.1888,31.3141
1606,71,173.1938,12.1505
2504,362,173.1989,22.7817
2877,432,173.2006,0.4785
2505,335,173.2057,24.6943
2877,422,173.2097,0.3944
2877,236,173.2111,-0.3946
281,23,173.2119,-0.3336
2502,213,173.2168,18.4689
2873,157,173.2219,66.9069
1974,148,173.2316,31.5027
776,209,173.2339,60.7547
2217,638,173.2419,29.5145
2036,492,173.2676,38.0360
1972,374,173.2793,39.9984
879,614,173.2818,52.4765
1974,475,173.2854,31.9466
837,531,173.2936,5.6663
776,430,173.3336,62.6138
1974,519,173.3533,32.5804
2501,560,173.3547,24.5478
2098,415,173.3700,34.2781
1754,558,173.3757,14.7997
2036,509,173.3788,38.1106
1014,470,173.3889,54.9282
1607,335,173.3926,13.0981
1224,324,173.4004,10.9716
1619,405,173.4026,8.4033
1607,290,173.4162,11.5797
2113,22,173.4219,34.9894
1606,21,173.4278,11.7017
2036,505,173.4340,38.1969
2502,138,173.4365,18.6101
1754,561,173.4383,15.7387
282,235,173.4502,-0.1895
2499,39,173.4716,16.8497
513,428,173.4787,2.4058
1366,107,173.4918,43.3509
879,606,173.4950,52.7313
2877,254,173.4951,-1.1985
776,226,173.5003,62.0811
1607,244,173.5076,11.0540
327,181,173.5089,-2.8118
1972,372,173.5102,39.8521
1972,260,173.5104,39.8165
776,413,173.5133,62.9402
2505,358,173.5137,25.4773
1619,408,173.5151,8.5517
2504,418,173.5248,22.9345
1443,509,173.5319,41.9899
1367,299,173.5388,44.4391
1974,111,173.5410,30.8796
282,216,173.5476,-0.9272
282,201,173.5538,-0.9965
1754,620,173.5578,15.6454
1972,245,173.5634,39.4739
837,51,173.5662,4.0022
1607,272,173.5781,11.9576
1311,389,173.5790,57.7013
966,117,173.5832,48.9683
837,47,173.5878,3.8669
2501,11,173.5880,23.1526
1755,396,173.5959,15.0165
2012,300,173.5979,35.8395
776,193,173.6012,61.6668
2098,251,173.6027,32.6340
1311,271,173.6167,56.8920
1443,50,173.6219,40.8909
1442,50,173.6232,45.9602
2877,207,173.6238,-1.1982
597,518,173.6267,65.0542
597,169,173.6268,63.9182
776,219,173.6358,61.3514
1974,133,173.6366,31.3908
1309,71,173.6430,56.7697
327,124,173.6438,-3.6240
2504,453,173.6559,23.0510
2881,299,173.6699,58.5010
492,280,173.6717,67.2976
1014,441,173.6740,55.5548
2098,464,173.6842,34.1594
1366,63,173.6910,43.3161
1974,108,173.7217,30.7932
597,163,173.7232,63.9187
2098,471,173.7247,34.1119
2501,550,173.7309,25.0394
1974,525,173.7572,32.1887
1607,206,173.7585,11.1137
1311,326,173.7649,58.0510
2504,500,173.7837,22.4543
952,595,173.7967,59.4127
2503,138,173.8029,16.2641
966,12,173.8056,48.4747
328,353,173.8084,-1.9346
513,176,173.8099,1.6923
2218,625,173.8262,27.3795
2877,180,173.8350,-0.1815
2220,418,173.8358,30.4478
2504,129,173.8389,20.7127
2881,388,173.8466,60.0261
967,282,173.8562,48.7790
776,474,173.8602,62.2675
879,585,173.8740,51.8443
1972,247,173.8820,39.5770
2098,522,173.8940,34.7427
1443,63,173.8942,41.6031
2502,57,173.8981,18.8383
1224,364,173.9012,10.7635
1224,206,173.9017,8.7053
597,512,173.9028,64.6545
597,540,173.9083,65.1130
1442,13,173.9213,45.6786
1972,227,173.9282,38.8835
2501,584,173.9345,25.1526
776,487,173.9358,62.5590
880,224,173.9528,51.5996
327,150,173.9599,-2.7576
1442,1,173.9612,46.1181
1972,455,173.9618,39.8934
2036,570,173.9822,39.0140
952,75,173.9928,59.1727
1443,589,173.9976,42.3346
282,503,173.9998,0.4063
1445,358,174.0004,42.4316
597,532,174.0042,65.4260
2502,145,174.0119,19.5994
2506,301,174.0343,18.8189
2501,585,174.0356,25.0561
1311,393,174.0362,57.3626
1754,636,174.0386,15.0622
2012,267,174.0396,34.9400
879,21,174.0526,51.1697
2502,52,174.0560,18.4775
2219,489,174.0563,27.3284
2036,62,174.0585,37.3223
2504,159,174.0614,21.3740
282,150,174.0668,-0.4751
597,527,174.0712,65.8128
1607,414,174.0852,13.1285
282,535,174.0877,0.8392
597,525,174.0940,65.5971
2098,201,174.1047,32.6018
513,510,174.1098,2.6256
1619,566,174.1139,8.1592
597,98,174.1141,63.7812
1015,181,174.1159,54.2512
966,27,174.1390,48.7363
1607,409,174.1433,13.2221
513,494,174.1447,2.3472
282,99,174.1454,-0.9585
776,131,174.1455,61.1057
837,31,174.1461,4.6553
282,523,174.1611,1.1755
2873,114,174.1772,66.7807
597,43,174.1781,63.6804
2502,113,174.1990,19.4428
2501,613,174.2062,25.3432
2220,486,174.2093,30.0987
837,37,174.2146,4.8815
2012,211,174.2217,35.6459
597,41,174.2320,63.5223
1366,24,174.2385,43.5675
2503,585,174.2403,17.7597
513,503,174.2432,2.7056
1974,60,174.2463,31.6173
1224,411,174.2633,10.7200
2503,598,174.2678,17.2740
2220,167,174.2740,29.4847
2008,311,174.2829,31.1911
2098,576,174.2854,34.7478
880,397,174.2882,52.6920
1619,59,174.2972,6.6753
2873,18,174.3181,66.3785
2036,11,174.3182,37.1796
2501,33,174.3261,24.1703
1607,515,174.3271,12.5453
1442,7,174.3314,45.8863
776,481,174.3405,62.6187
1014,549,174.3452,54.6987
838,335,174.3463,5.7858
1972,177,174.3539,39.2763
1366,614,174.3555,44.5850
1997,313,174.3726,37.8734
513,544,174.3919,2.6998
1015,180,174.4037,54.5304
967,370,174.4115,50.1952
776,533,174.4192,63.0491
1443,639,174.4199,41.8668
2220,506,174.4358,30.1702
513,93,174.4403,1.4542
2501,40,174.4424,24.1510
1972,144,174.4485,39.3282
1443,628,174.4507,42.2972
1755,449,174.4631,15.9848
2219,573,174.4768,27.4781
1442,4,174.4788,46.0410
327,68,174.4857,-2.9287
2008,294,174.4916,32.0448
327,5,174.5016,-3.1966
2219,547,174.5058,27.1050
2881,234,174.5079,59.5055
513,531,174.5156,3.2494
1607,537,174.5218,13.0591
952,630,174.5253,59.6828
1366,30,174.5362,43.3186
2505,448,174.5559,24.8071
2012,205,174.5624,35.3569
2012,222,174.5667,35.1009
1755,538,174.5998,15.6828
838,231,174.6111,4.9035
2504,20,174.6211,20.8196
1311,367,174.6218,58.5432
2012,234,174.6309,35.2904
880,187,174.6400,51.8089
282,609,174.6410,0.7913
1224,48,174.6517,8.8725
327,591,174.6595,-2.1020
880,456,174.6606,52.9051
2008,241,174.6610,31.7613
513,575,174.6712,3.3884
597,561,174.6862,65.4629
1755,41,174.6941,13.8581
2503,29,174.6951,16.9576
513,577,174.7076,3.0016
1620,265,174.7190,7.3810
1972,134,174.7272,39.7649
1997,318,174.7282,37.8169
1444,281,174.7290,45.8035
2219,607,174.7497,27.8660
1014,591,174.7533,55.1933
1755,506,174.7589,15.4351
1972,515,174.7614,40.5486
967,208,174.7627,48.7399
2098,555,174.7630,33.9174
2505,517,174.7750,25.7095
1997,308,174.7878,37.7016
2220,115,174.7889,29.2395
967,420,174.8040,50.1170
2008,349,174.8083,32.6348
1015,172,174.8193,54.2427
2012,230,174.8283,35.0268
2508,393,174.8335,17.6541
1620,283,174.8476,6.3532
776,156,174.8533,61.8300
327,39,174.8539,-2.6319
2505,466,174.8676,25.0906
597,585,174.8740,64.9907
2008,208,174.8798,31.6059
2221,350,174.8845,27.7808
1972,485,174.8895,39.9436
2881,406,174.8924,60.5344
838,422,174.8957,5.6409
2012,164,174.9104,35.4697
1015,145,174.9144,54.3709
2220,561,174.9318,30.6532
1367,265,174.9435,43.6626
2508,394,174.9673,17.6905
2508,225,174.9689,16.9351
2506,420,174.9809,20.2167
1755,560,174.9866,14.7844
2507,232,174.9956,21.8879
1619,616,174.9988,8.1586
1972,113,175.0014,39.0727
1972,560,175.0100,40.3206
1607,588,175.0200,12.7151
2506,237,175.0277,19.2881
777,302,175.0361,62.0917
2008,205,175.0539,31.7534
880,165,175.0545,51.9958
776,507,175.0572,62.6990
1755,593,175.0634,15.0752
2222,356,175.0654,30.1151
1755,562,175.0666,15.9914
2221,272,175.0859,27.1616
2036,28,175.0961,37.4709
1972,548,175.1048,41.1052
1367,448,175.1099,45.1785
1620,255,175.1116,6.5651
1608,327,175.1131,13.5420
2881,481,175.1136,60.1021
2008,181,175.1347,30.9904
1972,87,175.1456,39.1874
2881,185,175.1570,59.1992
1620,253,175.1594,6.5028
2506,383,175.1786,19.9644
838,412,175.1850,5.7690
2008,468,175.1915,32.4405
328,140,175.2075,-3.5764
2503,629,175.2094,17.8671
1997,370,175.2229,38.8055
967,122,175.2249,48.7255
2219,39,175.2273,26.7264
1225,429,175.2283,10.4795
1225,246,175.2336,9.2991
283,315,175.2367,-0.3917
838,450,175.2546,6.0288
2036,636,175.2607,38.0118
776,551,175.2688,62.5405
513,13,175.2730,1.3379
2222,301,175.2824,29.5660
597,639,175.2975,64.6879
283,377,175.3012,0.7997
2507,418,175.3212,22.8993
838,447,175.3227,6.0591
2012,137,175.3377,35.8477
1608,428,175.3396,12.5763
2221,435,175.3411,27.3534
2506,423,175.3433,20.1534
1445,434,175.3503,42.2974
1997,278,175.3760,37.7814
1608,379,175.3844,13.1318
1015,570,175.3937,55.7274
1367,193,175.4072,43.8907
2509,318,175.4127,19.4716
2220,13,175.4217,28.7668
1608,375,175.4302,13.2474
2508,472,175.4374,17.7867
1014,34,175.4533,54.5402
514,278,175.4722,2.3234
880,539,175.4871,53.2327
1444,455,175.5071,48.2312
2008,141,175.5096,31.4958
1225,214,175.5130,9.0668
1620,419,175.5162,8.3994
1444,175,175.5182,47.1045
1620,439,175.5222,7.9883
2505,582,175.5251,25.6152
2508,249,175.5277,16.2750
1310,13,175.5284,56.2323
1608,235,175.5287,11.6336
598,307,175.5308,64.7567
1608,225,175.5386,11.8757
2221,464,175.5396,27.8303
953,327,175.5425,60.7689
1972,49,175.5681,39.2069
2507,127,175.5689,20.7561
1970,350,175.5697,40.4033
1310,592,175.5786,57.4735
283,232,175.5844,-0.2045
839,262,175.5852,4.5585
2221,412,175.5905,28.1150
2220,625,175.5969,30.1235
2507,88,175.5972,21.0203
1225,450,175.6055,11.0382
492,216,175.6072,66.5437
1761,372,175.6194,15.7390
283,240,175.6209,-0.5139
514,428,175.6245,2.9806
2508,166,175.6646,16.7234
2881,150,175.6747,58.9916
776,610,175.6752,63.1748
967,481,175.6776,49.6808
2505,569,175.6782,25.1514
2507,95,175.6783,21.2305
