PLATE,FIB,RA,DEC
692,159,13.7202,-0.2291
1083,381,13.7276,0.2998
395,304,13.7285,-0.7122
1083,327,13.7437,1.0626
657,536,13.7874,-8.9874
692,100,13.8048,-0.9392
1083,272,13.8104,-0.1185
692,528,13.8208,1.1458
657,521,13.8236,-8.6285
692,531,13.8291,0.8347
692,145,13.8405,-0.4715
693,360,13.8616,0.1439
1083,263,13.8959,-0.5496
657,107,13.9171,-10.0709
1083,273,13.9877,-0.0381
692,568,14.0026,0.8987
1083,224,14.0107,-0.0341
692,115,14.1026,-0.0774
1497,420,14.2204,0.7375
658,399,14.2219,-9.6894
692,75,14.2287,-0.5355
421,337,14.2426,15.6726
420,119,14.2508,14.6272
693,324,14.2575,0.9558
395,394,14.2641,0.2356
1497,188,14.2976,-0.3335
657,615,14.3146,-8.9571
693,261,14.3208,-0.4092
395,432,14.3224,-0.0204
1083,472,14.3429,0.2791
693,328,14.4362,1.1384
420,12,14.4889,14.3167
1083,486,14.5381,0.5217
395,445,14.5597,1.2584
1083,490,14.6313,0.4658
421,333,14.6522,15.6198
693,242,14.6566,-1.1933
1497,513,14.7750,0.4644
1083,142,14.8274,-0.3390
395,512,14.8444,0.0504
658,407,14.8921,-8.7203
1083,105,14.9195,-0.1628
693,432,14.9256,0.1054
658,490,14.9379,-9.8653
421,239,14.9520,14.3565
658,409,14.9653,-8.7400
693,204,15.1416,-1.1534
1498,344,15.1439,0.5964
421,406,15.1655,15.6751
693,413,15.1708,0.9358
693,217,15.1924,-0.9820
693,420,15.2542,0.6551
421,164,15.3271,14.4466
693,443,15.3786,1.0295
693,134,15.4209,-0.7442
1497,64,15.4335,-0.6844
1498,287,15.4872,-1.1056
396,424,15.5377,0.3063
421,143,15.5435,14.5316
395,612,15.6146,0.8602
658,582,15.6235,-9.2702
693,505,15.7356,0.5013
1083,594,15.7433,0.6348
693,522,15.8620,0.9274
658,48,15.8697,-11.0707
396,297,15.9017,-0.9191
1498,467,15.9061,0.4356
693,549,15.9067,0.4783
694,307,15.9533,0.0241
2328,391,15.9770,0.2595
659,349,16.0038,-9.2783
694,296,16.1205,-0.6509
1498,186,16.1244,-0.6741
694,273,16.1459,-0.3835
658,1,16.1712,-11.0273
694,389,16.2075,0.4027
694,270,16.3487,-0.4275
1082,139,16.4402,-0.9134
659,257,16.4683,-10.4897
396,553,16.5509,0.3223
396,552,16.5669,0.2567
396,454,16.5802,0.8065
659,432,16.6723,-9.6681
2825,284,16.6787,14.9591
694,362,16.6912,0.9368
1498,543,16.6985,0.4740
2328,181,16.7044,-0.5679
1082,514,16.7410,0.3594
659,420,16.7414,-8.9167
659,474,16.8084,-9.3033
2328,492,16.8177,0.6242
694,181,16.8557,-0.6006
