ix96629, plate, fiber, Z_START, Z_END, RA, DEC
211,1313,567,2.297998,3.379790,180.639160,58.083848
212,490,114,2.211074,2.651655,165.948240,65.763509
213,1744,368,2.731216,4.020983,149.904660,13.204304
214,901,504,2.381040,2.853338,144.239710,50.099556
215,644,304,2.200000,2.553159,326.824510,-8.490833
216,1323,101,2.200000,2.906154,210.189740,54.875523
217,1355,471,3.069587,4.137466,233.913170,33.975228
218,997,92,2.417829,3.478354,154.576890,5.806347
219,1952,37,2.246014,2.856634,153.746960,32.161620
220,2019,194,2.297998,2.960891,160.008430,31.697196
221,2095,245,2.200000,2.949041,180.026060,31.441907
222,1315,143,2.200000,2.950843,185.016500,56.974166
223,1767,8,2.389615,2.863218,186.704460,14.028679
224,1571,633,3.010979,3.571246,250.478720,22.629328
225,2112,562,2.200000,2.521133,201.763600,34.222707
226,586,635,2.918775,4.236031,220.322760,3.986262
227,726,481,2.200000,2.634587,347.807740,-8.978827
228,753,310,3.210662,4.179274,4.557871,14.415463
229,394,247,2.474164,4.278353,12.526473,-0.888683
230,1193,430,2.200000,2.755337,137.865070,5.848365
231,1985,221,2.200000,2.276682,191.008410,40.278435
232,1289,157,2.234077,3.127181,221.595870,43.719091
233,1440,128,2.405261,2.869484,170.203080,40.597037
234,1829,131,2.303318,2.522410,221.475350,5.410570
235,1735,45,2.200000,2.992670,114.584550,41.454444
236,2096,19,3.442734,4.364651,159.830350,34.751272
237,494,265,2.200000,2.879424,187.057160,66.821848
238,1283,452,2.200000,2.773821,203.847400,49.109738
239,956,140,2.200000,2.785621,188.956060,59.174171
240,288,404,2.371711,2.762475,184.834440,1.126740
241,359,377,2.550180,2.614668,260.371250,54.125154
242,1329,359,2.200000,2.366198,223.257030,50.377239
243,396,454,3.081787,4.394748,16.580184,0.806495
244,1401,237,2.381040,3.095333,232.478620,35.639545
245,1009,20,2.313221,3.342298,160.733200,51.493418
246,1936,61,2.395864,3.181483,138.412370,29.215176
247,930,209,2.227382,2.844239,122.027580,28.263262
248,850,39,3.348609,3.925824,199.076630,4.900279
249,437,144,2.367831,3.353763,120.828050,42.343623
250,1921,48,3.099684,3.254961,118.816390,15.704632
251,1952,378,2.499052,3.833051,151.432190,32.988302
252,439,528,2.818127,4.023280,122.728680,46.066075
253,1939,638,2.200000,2.892710,143.095390,29.698111
254,2096,19,3.442734,4.364651,159.830350,34.751272
255,883,610,2.284357,2.384285,185.118580,53.164738
256,1323,101,2.200000,2.906154,210.189740,54.875523
257,846,115,3.171097,3.706233,190.412340,4.622001
258,898,506,2.200000,2.473316,136.486570,46.457699
259,1764,579,3.365664,4.397054,181.878550,15.560592
260,550,572,2.200000,2.773613,130.367730,48.906303
261,1602,26,3.175902,4.284709,164.737880,11.024614
262,2008,141,2.452632,3.709717,175.509580,31.495755
263,933,152,2.421766,3.343962,129.842080,33.810975
264,1019,350,2.428075,3.526656,182.393880,55.629359
265,1268,120,2.826047,4.309429,129.663210,28.981313
266,1014,126,3.274156,3.295719,173.025570,53.635667
267,852,205,2.758810,3.961643,201.340230,3.559963
268,1018,32,3.135712,4.031635,183.907450,54.993650
269,1602,26,3.175902,4.284709,164.737880,11.024614
270,1829,131,2.303318,2.522410,221.475350,5.410570
271,662,200,3.139523,4.211597,23.178174,-9.717130
272,271,345,3.994021,4.348663,153.954180,0.338888
273,1699,231,3.644622,3.650000,202.191930,11.668708
274,1643,329,2.557545,3.548931,212.723050,37.550566
275,767,409,2.360859,2.830637,141.308580,52.353504
276,2112,602,2.923289,3.471276,201.971000,33.666699
277,631,637,2.200000,2.841774,254.090250,41.923472
278,1193,430,2.200000,2.755337,137.865070,5.848365
279,615,473,2.200000,2.401699,233.139050,58.710588
280,1606,245,2.581380,3.399986,171.602950,11.354969
281,776,481,2.549362,3.735447,174.340480,62.618673
282,1658,390,2.514393,3.255594,245.438300,22.534382
283,1602,26,3.175902,4.284709,164.737880,11.024614
284,2147,573,3.033205,4.303925,161.646860,9.927664
285,1574,351,2.533868,3.676354,244.497130,24.821618
286,2008,294,2.200000,2.571346,174.491620,32.044836
287,753,310,3.210662,4.179274,4.557871,14.415463
288,906,405,2.524929,3.646357,160.658360,56.300578
289,2085,581,2.200000,2.508837,134.079950,23.925520
290,1602,26,3.175902,4.284709,164.737880,11.024614
291,1317,42,2.555088,2.643774,192.503190,56.130110
292,2036,62,2.200000,2.234439,174.058490,37.322284
293,1400,461,2.248257,3.051496,230.593850,37.628644
294,414,142,2.975121,4.106895,51.533851,-0.561141
295,335,341,3.081787,4.200192,188.446760,-1.814948
296,1166,188,2.855230,3.701520,230.948470,49.694046
297,327,150,3.059292,3.594640,173.959880,-2.757598
298,559,122,2.218477,2.668494,155.399310,58.045792
299,1870,508,2.200000,2.303145,120.416680,53.345808
300,1192,382,2.698711,3.597986,134.841770,5.232493
301,1297,594,3.209692,4.379947,129.232540,6.684623
302,720,108,2.200000,2.566841,336.191630,-8.782344
303,1609,338,2.236312,3.315826,176.788590,13.355103
304,335,341,3.081787,4.200192,188.446760,-1.814948
305,1645,141,2.200000,2.511857,218.932170,34.485123
306,1594,451,2.200000,2.542953,144.995470,36.156111
307,2087,342,2.200000,2.938606,137.865620,26.094352
308,586,635,2.918775,4.236031,220.322760,3.986262
309,1601,37,2.370159,3.122736,163.242040,11.466458
310,878,583,2.675787,3.881759,170.283330,51.501520
311,749,177,3.209692,4.190006,358.434420,14.590347
312,993,232,2.222926,3.192917,145.227360,5.817651
313,663,213,2.416256,3.198471,24.744486,-10.273447
314,1434,89,2.200000,2.871544,162.680200,43.976374
315,1764,579,3.365664,4.397054,181.878550,15.560592
316,944,304,2.293444,3.077266,152.728810,45.371285
317,952,595,2.402126,3.336824,173.796700,59.412711
318,335,341,3.081787,4.200192,188.446760,-1.814948
319,2210,450,3.121453,4.040823,250.307310,13.699694
320,850,39,3.348609,3.925824,199.076630,4.900279
321,301,43,2.200000,2.487018,210.309530,-0.760314
322,1415,560,2.550997,3.243239,254.627770,22.124240
323,1767,163,2.200000,2.228123,185.989670,14.245308
324,564,356,2.932334,4.195470,129.922730,3.304737
325,2027,163,2.200000,2.415193,179.032740,37.570825
326,2147,573,3.033205,4.303925,161.646860,9.927664
327,1166,221,3.142384,3.604203,230.785350,50.046190
328,831,199,2.200000,2.600749,135.774200,42.740832
329,1018,32,3.135712,4.031635,183.907450,54.993650
330,394,247,2.474164,4.278353,12.526473,-0.888683
331,1822,220,2.765740,3.597610,238.232230,6.020308
332,1609,125,2.543646,3.577067,177.253750,11.340447
333,1217,432,2.525740,3.540318,149.012080,42.040716
334,837,47,4.071663,4.082046,173.587820,3.866923
335,1012,265,2.203689,2.917747,167.361510,53.282809
336,432,31,2.746712,3.721359,116.685580,39.963817
337,763,126,2.204427,3.167732,130.909120,44.570803
338,1291,465,2.219218,3.065593,226.383360,42.300961
339,1350,568,2.273786,2.632459,221.473360,39.856906
340,1317,247,2.200000,2.885988,190.480730,56.223041
341,1339,599,2.200000,2.524509,249.900420,34.248077
342,335,341,3.081787,4.200192,188.446760,-1.814948
343,862,386,2.435978,3.463841,124.553840,33.565023
344,1595,148,2.318565,2.960445,147.779880,35.382061
345,542,118,2.251999,2.705976,116.619410,34.713447
346,941,136,2.200000,2.523311,146.930580,42.143857
347,999,628,2.769210,4.053633,159.384950,7.073956
348,741,370,3.626476,3.654436,343.107400,14.989395
349,1714,514,3.100628,3.975324,223.198840,11.938919
350,1209,460,2.200000,2.365109,130.688870,32.887291
